Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Country,State,City
2656,2025-10-04,Tamara,North,65366.9,39,Furniture,1530.99,1841.84,New,0.09,Credit Card,Online,North-Tamara,USA,NY,East Allison
8142,2025-05-02,Tyler,West,58734.17,19,Furniture,2852.63,3864.09,New,0.2,Credit Card,Online,West-Tyler,USA,WA,Smithfort
3564,2026-01-10,Melissa,West,141367.46,46,Furniture,2237.5,3453.04,New,0.11,Bank Transfer,Online,West-Melissa,USA,OR,Wongport
1507,2025-06-12,James,North,16928.32,30,Electronics,593.66,752.37,New,0.25,Bank Transfer,Online,North-James,USA,MA,New Jesseberg
9419,2025-02-10,James,North,59365.43,39,Electronics,1047.39,1856.33,New,0.18,Credit Card,Online,North-James,USA,MA,Port Bradleyfort
4415,2025-02-03,Jeffery,West,81711.71,46,Electronics,991.66,1831.28,Returning,0.03,Cash,Retail,West-Jeffery,USA,CA,Andrehaven
9619,2025-04-14,Jennifer,South,52098.05,30,Electronics,1814.63,2198.23,New,0.21,Cash,Retail,South-Jennifer,USA,GA,Christopherland
9446,2025-10-26,Brian,North,769.59,12,Food,35.99,68.96,New,0.07,Cash,Online,North-Brian,USA,IL,Tiffanyport
2721,2025-04-24,Nicholas,East,39128.59,23,Electronics,1532.49,1890.27,New,0.1,Credit Card,Retail,East-Nicholas,USA,VA,Villanuevaside
8926,2025-03-21,Tammy,West,4646.64,4,Electronics,700.03,1366.66,New,0.15,Credit Card,Retail,West-Tammy,USA,WA,New Meghan
5141,2025-09-03,Amanda,East,761.41,11,Food,47.49,71.36,New,0.03,Bank Transfer,Online,East-Amanda,USA,VA,West Dawnchester
6863,2025-05-16,Jose,West,59809.63,38,Electronics,981.13,1830.16,Returning,0.14,Cash,Online,West-Jose,USA,OR,Deanhaven
8313,2025-03-30,Erika,West,746.66,14,Food,38.04,56.14,New,0.05,Credit Card,Retail,West-Erika,USA,CA,Kathrynbury
5392,2025-01-31,Adam,East,24605.76,30,Electronics,794.42,1025.24,Returning,0.2,Cash,Online,East-Adam,USA,VA,New Justin
2418,2025-10-05,Joseph,North,39280.19,34,Furniture,967.37,1269.56,New,0.09,Credit Card,Online,North-Joseph,USA,IL,Stantontown
